# Glossary format: morpheme | short_gloss | homeLangDetails (auto-filled into dict entries)

# Prefixes
불- / 부- | not, un- | Think of this as Korean's version of English "un-" or "in-". It negates the word it attaches to, so 불행 means "unhappiness" (행 = happiness), 불편 means "inconvenient/uncomfortable", and 부족 means "insufficient/lacking". You'll see 불- before many Sino-Korean roots and it's one of the most reliable negating prefixes in the language.
무- | without, -less | This one maps neatly onto English "-less" or "without". 무료 means "free of charge" (literally "without fee"), 무관심 means "indifference" (without interest), and 무한 means "infinite" (without limit). It comes from a Chinese character meaning "nothing/none" and you'll see it constantly in formal and everyday vocabulary alike.
재- | re-, again | Just like English "re-", this prefix signals doing something again. 재사용 means "reuse", 재확인 means "reconfirm", and 재건 means "rebuilding". Once you spot it, you'll start noticing it on signs, product labels, and news headlines all the time. (Note: 재미 "fun/interest" looks similar but is unrelated — watch out for that one.)
초- | super-, ultra-, hyper- | This prefix cranks things up to eleven. 초고속 means "ultra-high-speed", 초등학교 means "elementary school" (first-level school), and 초강력 means "super-powerful". It's borrowed from a Chinese root meaning "to exceed" and feels very natural to English speakers who know "super-" or "hyper-".
핵- | nuclear, ultra- (slang) | Originally meaning "nuclear" as in 핵무기 (nuclear weapon), this prefix got grabbed by Korean internet slang to mean "extremely" or "super". So 핵꿀 means "super sweet/great" and 핵인싸 means "total insider/popular person". It's informal and very generational, so use it with younger speakers.
반- | anti-, half-, counter- | This prefix does double duty: it can mean "half" (like English "semi-") or "against/anti-". Context and the attached word clarify which reading applies. You'll see it in 반대 (opposition), 반값 (half price), and 반응 (reaction, literally "counter-response"). It's extremely common in both everyday and formal vocabulary.

# Suffixes
-하다 | (verb-forming) | This is the single most important suffix to learn. Attach it to a noun (often Sino-Korean) and you get a verb: 공부하다 (to study), 일하다 (to work), 사랑하다 (to love). It's like adding "-ify" or "-ize" in English but far more productive. Hundreds of Korean verbs are built this way, so knowing the noun often gives you the verb for free.
-적 | -ical, -al, -ic | This suffix turns a noun into an adjective, just like "-ic" or "-al" in English. 과학적 means "scientific", 경제적 means "economic/economical", and 전통적 means "traditional". It's almost always followed by 으로 when used as an adverb (경제적으로 = economically), making it a two-for-one deal once you learn the pattern.
-없다 | without, -less | Attaching 없다 (to not exist/have) after a noun creates adjectives meaning "-less" or "without", mirroring English suffixes like "-less" in "hopeless" or "careless". Examples include 걱정없다 (carefree), 끝없다 (endless), and 힘없다 (powerless). It's the mirror image of -있다 constructions that express having a quality.
-스럽다 | seeming, -ish, -like | This suffix attaches to nouns to form adjectives meaning "having the quality of" or "seeming like", a bit like English "-ish" or "-like". It gives a softer, more impressionistic feel than -적. Common examples are 사랑스럽다 (lovable, adorable), 자연스럽다 (natural-seeming), and 위험스럽다 (seeming dangerous).
-쟁이 / -장이 | person known for | Think of this as the Korean equivalent of calling someone a "-er" or a person associated with a trait or job. It's informal and sometimes affectionate, sometimes teasing. You'll hear 겁쟁이 (coward), 고집쟁이 (stubborn person), and 멋쟁이 (stylish person). It adds a very colloquial, playful flavor.
-중 | in the middle of, during | This Sino-Korean suffix signals that something is currently in progress, like English "in the middle of". It shows up in 수업중 (during class), 공사중 (under construction), and 통화중 (on a call). You'll see it on signs all over Korea.
-자 | person, -er, -ist | From the Sino-Korean character for "person", this suffix marks someone who performs an action or fills a role: 과학자 (scientist), 소비자 (consumer), 노동자 (laborer). It parallels English "-er" or "-ist" and is extremely common in academic and formal vocabulary.
-성 | -ness, -ity, nature of | Forms abstract nouns from adjectives or nouns, much like English "-ness" or "-ity". 가능성 (possibility), 중요성 (importance), 창의성 (creativity). It's the go-to suffix for turning a quality into a concept.

# Roots and stems
학(學) | study, learning | From the Chinese character for "to learn/study", this root shows up everywhere in education vocabulary. 학교 (school), 학생 (student), 학습 (learning), 대학 (university). It's a near-perfect parallel to how English uses "acad-" or "schol-" as roots in academic vocabulary.
공(公 / 共) | public, common | This Sino-Korean root wears several hats: 공부 (study), 공통 (common/shared), and 공개 (public/open) all start with 공 but from different Chinese characters. The "public/shared" senses are especially frequent, and recognizing this root helps you make educated guesses at unfamiliar vocabulary.
국(國) | country, national | Meaning "country" or "nation", this root appears in words about nationhood and national identity. 한국 (Korea), 외국 (foreign country), 국어 (national language), 국민 (citizen). It parallels Latin "nation-" in English borrowings.
대(大) | big, great, major | This prefix root meaning "big" or "great" powers a wide range of vocabulary, working like English "mega-", "grand-", or "major-". 대학교 (university), 대통령 (president), 대화 (conversation). Whenever you see 대 at the front of a Sino-Korean word, think size or importance.
인(人) | person, people | Meaning "person" or "people", this root underlies dozens of words about roles and identities. 한국인 (Korean person), 외국인 (foreigner), 인간 (human being). It's a reliable signal that a word is classifying or describing a type of person.
생(生) | life, living, birth | From the Chinese character for life/birth, 생 anchors a rich family of words. 생일 (birthday), 생활 (daily life), 생명 (life/living being), and 학생 (student, literally "learning-life-person"). Once you see 생, think "something to do with being alive, living, or being born".
어(語) | language, speech | This root, from hanja 語, refers to language and speech, similar to the Greek root "logo-" or "linguo-". You'll find it in 한국어 (Korean language), 영어 (English), and 어휘 (vocabulary). A reliable flag that a word has something to do with language or communication.
